name,bus
Beauly,Beauly
Peterhead,Peterhead
Errochty,Errochty
Denny/Bonnybridge,Denny/Bonnybridge
Neilston,Neilston
Strathaven,Strathaven
Torness,Torness
Eccles,Eccles
Harker,Harker
Stella West,Stella West
Penwortham,Penwortham
Deeside,Deeside
Daines,Daines
Th. Marsh/Stocksbridge,Th. Marsh/Stocksbridge
Thornton/Drax/Eggborough,Thornton/Drax/Eggborough
Keadby,Keadby
Ratcliffe,Ratcliffe
Feckenham,Feckenham
Walpole,Walpole
Bramford,Bramford
Pelham,Pelham
Sundon/East Claydon,Sundon/East Claydon
Melksham,Melksham
Bramley,Bramley
London,London
Kemsley,Kemsley
Sellindge,Sellindge
Lovedean,Lovedean
S.W.Penisula,S.W.Penisula
