fuel,marginal_costs,min_up_time,min_down_time,ramp_limit_up,ramp_limit_down,p_min_pu,up_time_before,start_up_cost,committable,p_max_pu
Coal,,394,276,3.965,3.965,35.7,0,38,TRUE,100
Oil,,225,195,10.2,10.6,33.3,0,16,TRUE,100
CCGT,,247.5,150,5.78,5.78,40,0,64,TRUE,100
OCGT,,106.9,63,14.37,14.37,28.9,0,20,TRUE,100
Sour gas,0,106.9,63,14.37,14.37,28.9,0,20,TRUE,100
Nuclear,5,600,600,0.05,0.05,45,0,30,TRUE,73
Biomass (dedicated),44,394,276,3.965,3.965,35.7,0,38,TRUE,73
Biomass (co-firing),44,394,276,3.965,3.965,35.7,0,38,TRUE,73
Large Hydro,0,0,0,999,999,0,0,0,FALSE,100
Small Hydro,0,0,0,999,999,0,0,0,FALSE,100
Wind Offshore,0,0,0,999,999,0,0,0,FALSE,100
Wind Onshore,0,0,0,999,999,0,0,0,FALSE,100
Solar Photovoltaics,0,0,0,999,999,0,0,0,FALSE,100
Waste (anaerobic digestion),0,0,0,999,999,0,0,0,FALSE,100
Anaerobic Digestion,0,0,0,999,999,0,0,0,FALSE,100
EfW Incineration,0,0,0,999,999,0,0,0,FALSE,36
Landfill Gas,0,0,0,999,999,0,0,0,FALSE,100
Sewage Sludge Digestion,0,0,0,999,999,0,0,0,FALSE,100
Shoreline Wave,0,0,0,999,999,0,0,0,FALSE,100
Tidal Barrage and Tidal Stream,0,0,0,999,999,0,0,0,FALSE,100
CCS Gas,100,394,276,3.965,3.965,35.7,0,38,TRUE,100
CCS Biomass,120,394,276,3.965,3.965,35.7,0,38,TRUE,100
Hydrogen,80,106.9,63,14.37,14.37,28.9,0,20,TRUE,100
Fuel Cell,60,60,30,20,20,20,0,10,TRUE,100
CHP,50,200,150,5.78,5.78,40,0,30,TRUE,100
Micro CHP,40,60,30,20,20,20,0,5,FALSE,100
Gas Engine,60,60,30,20,20,20,0,10,TRUE,100
Geothermal,0,0,0,999,999,0,0,0,FALSE,90
Marine,0,0,0,999,999,0,0,0,FALSE,100
