name,bus0,bus1,carrier,p_nom,marginal_cost,p_min_pu,p_max_pu
"Z10,Z8",Z10,Z8,AC,5000.0,0,-1,1
"Z11,Z10",Z11,Z10,AC,3684.0,0,-1,1
"Z11,Z9",Z11,Z9,AC,3367.0,0,-1,1
"Z12,Z10",Z12,Z10,AC,4621.0,0,-1,1
"Z12,Z11",Z12,Z11,AC,3238.0,0,-1,1
"Z13,Z11",Z13,Z11,AC,896.0,0,-1,1
"Z13,Z12",Z13,Z12,AC,844.0,0,-1,1
"Z14,Z12",Z14,Z12,AC,5000.0,0,-1,1
"Z15,Z12",Z15,Z12,AC,1453.0,0,-1,1
"Z15,Z14",Z15,Z14,AC,5000.0,0,-1,1
"Z16,Z13",Z16,Z13,AC,2559.0,0,-1,1
"Z16,Z14",Z16,Z14,AC,5000.0,0,-1,1
"Z16,Z15",Z16,Z15,AC,1467.0,0,-1,1
"Z17,Z13",Z17,Z13,AC,590.0,0,-1,1
"Z17,Z16",Z17,Z16,AC,302.0,0,-1,1
"Z1_3,Z1_1",Z1_3,Z1_1,DC,257.0,0,-1,1
"Z1_3,Z1_2",Z1_3,Z1_2,DC,450.0,0,-1,1
"Z1_4,Z1_1",Z1_4,Z1_1,AC,0.0,0,-1,1
"Z1_4,Z1_2",Z1_4,Z1_2,AC,19.0,0,-1,1
"Z1_4,Z1_3",Z1_4,Z1_3,AC,117.0,0,-1,1
"Z2,Z1_3",Z2,Z1_3,DC,1200.0,0,-1,1
"Z2,Z1_4",Z2,Z1_4,AC,755.0,0,-1,1
"Z3,Z2",Z3,Z2,AC,1342.0,0,-1,1
"Z4,Z3",Z4,Z3,AC,5000.0,0,-1,1
"Z5,Z3",Z5,Z3,AC,1752.0,0,-1,1
"Z6,Z5",Z6,Z5,AC,3343.0,0,-1,1
"Z7,Z2",Z7,Z2,DC,2000.0,0,-1,1
"Z7,Z6",Z7,Z6,AC,3313.0,0,-1,1
"Z8,Z7",Z8,Z7,AC,1112.0,0,-1,1
"Z9,Z3",Z9,Z3,DC,2200.0,0,-1,1
"Z9,Z7",Z9,Z7,AC,1226.0,0,-1,1
"Z9,Z8",Z9,Z8,AC,1275.0,0,-1,1
