Station Name,Company Name,Fuel,Technology,Installed Capacity (MW),Year of commission or year generation began,Location,Geolocation,x,y
Drax - coal units,,Coal,Conventional Steam,1320,1974,Yorkshire and Humber,"53.735281, -0.991970",-0.99197,53.735281
Cottam,EDF Energy,Coal,Conventional Steam,2000,1969,East Midlands,"53.303906, -0.781406",-0.781406,53.303906
West Burton,,Coal,Conventional Steam,2000,1969,East Midlands,"53.3622, -0.8076",-0.8076,53.3622
Aberthaw B,,Coal,Conventional Steam,1559,1971,Wales,"51.387222, -3.405",-3.405,51.387222
Fiddler`s Ferry,,Coal,Conventional Steam,1961,1971,North West,"53.372, -2.687",-2.687,53.372
Ratcliffe,Uniper UK,Coal,Conventional Steam,2021,1967,East Midlands,"52.865297, -1.255",-1.255,52.865297
Dungeness B,,Nuclear,AGR,1120,1983,South East,"50.913958, 0.96385",0.96385,50.913958
Hartlepool,,Nuclear,AGR,1207,1983,North East,"54.634983, -1.180856",-1.180856,54.634983
Heysham 1,,Nuclear,AGR,1179,1983,North West,"54.028886, -2.916089",-2.916089,54.028886
Heysham 2,,Nuclear,AGR,1254,1988,North West,"54.028886, -2.916089",-2.916089,54.028886
Hinkley Point B,,Nuclear,AGR,1061,1976,South West,"51.209217, -3.127464",-3.127464,51.209217
Hunterston B,,Nuclear,AGR,1020,1976,Scotland,"55.721849, -4.894551",-4.894551,55.721849
Sizewell B,,Nuclear,PWR,1223,1995,East England,"52.215036, 1.619667",1.619667,52.215036
Torness,,Nuclear,AGR,1250,1988,Scotland,"55.967327, -2.408485",-2.408485,55.967327
Barkantine Heat & Power *,,Natural Gas,OCGT,1,2000,London,"51.43431639229231, -0.5046095846573879",-0.5046095846573879,51.43431639229231
London Heat & Power *,,Natural Gas,OCGT,9,2000,London,"51.48086616351775, -0.05738719371893262",-0.05738719371893262,51.48086616351775
Pilkington - Greengate *,,Natural Gas,OCGT,10,1998,North West,"53.440839369233665, -2.7372090533554885",-2.7372090533554885,53.440839369233665
Knapton,Third Energy UK Gas,Natural Gas,Sour gas,42,1995,Yorkshire and Humber,"54.18053772508652, -0.6428534748293272",-0.6428534748293272,54.18053772508652
Connahs Quay,,Natural Gas,Sour gas,1380,1996,Wales,"53.232222, -3.081389",-3.081389,53.232222
Baglan Bay,,Natural Gas,CCGT,520,2002,Wales,"51.619735, -3.829637",-3.829637,51.619735
Severn Power,,Natural Gas,CCGT,850,2010,Wales,"51.547778, -2.976389",-2.976389,51.547778
Sutton Bridge,,Natural Gas,CCGT,819,1999,East Midlands,"52.757244, 0.193014",0.193014,52.757244
Glanford Brigg,Centrica,Natural Gas,OCGT,99,1994,Yorkshire and Humber,"53.540577, -0.503635",-0.503635,53.540577
Peterborough,,Natural Gas,OCGT,245,1993,East England,"52.576975, -0.203917",-0.203917,52.576975
Blackburn,,Natural Gas,CCGT,60,2011,North West,"53.718056, -2.537778",-2.537778,53.718056
Damhead Creek,,Natural Gas,CCGT,805,2000,South East,"51.425339, 0.599972",0.599972,51.425339
Rye House,,Natural Gas,CCGT,715,1993,East England,"51.762542, 0.010803",0.010803,51.762542
Shoreham,,Natural Gas,CCGT,420,2000,South East,"50.829511, -0.230567",-0.230567,50.829511
Castleford,,Natural Gas,CCGT,56,2002,Yorkshire and Humber,"53.7320, -1.3428",-1.3428,53.732
Sandbach,,Natural Gas,CCGT,56,1999,North West,"53.1654, -2.4061",-2.4061,53.1654
Thornhill,,Natural Gas,CCGT,50,1998,Yorkshire and Humber,"53.6771, -1.6550",-1.655,53.6771
West Burton CCGT,,Natural Gas,CCGT,1332,2013,East Midlands,"53.3622, -0.8076",-0.8076,53.3622
Saltend *,,Natural Gas,CCGT,1200,2000,Yorkshire and Humber,"53.733256291971934, -0.23976553975855663",-0.23976553975855663,53.733256291971934
Langage,,Natural Gas,CCGT,905,2010,South West,"50.3884, -4.011611",-4.011611,50.3884
South Humber Bank,,Natural Gas,CCGT,1365,1997,Yorkshire and Humber,"53.601392, -0.146419",-0.146419,53.601392
Carrington,,Natural Gas,CCGT,910,2016,North West,"53.435771, -2.410892",-2.410892,53.435771
Corby,,Natural Gas,CCGT,407,1994,East Midlands,"52.503642, -0.704175",-0.704175,52.503642
Fellside CHP *,Fellside Heat and Power,Natural Gas,CCGT,155,1995,North West,"54.417175942412875, -3.4882007079443276",-3.4882007079443276,54.417175942412875
Coryton,Intergen,Natural Gas,CCGT,800,2002,East England,"51.512, 0.508019",0.508019,51.512
Rocksavage,,Natural Gas,CCGT,810,1998,North West,"53.315561, -2.725253",-2.725253,53.315561
Spalding,,Natural Gas,CCGT,950,2004,East Midlands,"52.807803, -0.132253",-0.132253,52.807803
Marchwood,Marchwood Power,Natural Gas,CCGT,898,2009,South East,"50.898308, -1.437031",-1.437031,50.898308
Didcot B,,Natural Gas,CCGT,1450,1998,South East,"51.623661, -1.2675",-1.2675,51.623661
Great Yarmouth,,Natural Gas,CCGT,420,2001,East England,"52.583919, 1.733272",1.733272,52.583919
Little Barford,,Natural Gas,CCGT,723,1995,East England,"52.204758, -0.267244",-0.267244,52.204758
Pembroke,,Natural Gas,CCGT,2199,2012,Wales,"51.683056, -4.988333",-4.988333,51.683056
Staythorpe C,,Natural Gas,CCGT,1772,2010,East Midlands,"53.074739, -0.855847",-0.855847,53.074739
Seabank,Seabank Power,Natural Gas,CCGT,1234,2000,South West,"51.540047, -2.668858",-2.668858,51.540047
Wilton GT *,,Natural Gas,Conventional Steam,120,1952,North East,"54.589422, -1.118631",-1.118631,54.589422
Burghfield,,Natural Gas,OCGT,50,1998,South East,"51.429559, -1.003935",-1.003935,51.429559
Chickerell,,Natural Gas,OCGT,50,1998,South West,"50.623407, -2.489755",-2.489755,50.623407
Chippenham,,Natural Gas,OCGT,10.07,2002,South West,"51.467854, -2.105978",-2.105978,51.467854
Keadby,,Natural Gas,CCGT,735,1994,Yorkshire and Humber,"53.594444, -0.750442",-0.750442,53.594444
Medway,,Natural Gas,CCGT,755,1995,South East,"51.433392, 0.683292",0.683292,51.433392
Peterhead,,Natural Gas,CCGT,1180,1980,Scotland,"57.477213, -1.788879",-1.788879,57.477213
Cottam Development Centre,,Natural Gas,CCGT,445,1998,East Midlands,"53.303906, -0.781406",-0.781406,53.303906
Enfield,,Natural Gas,CCGT,408,1999,London,"51.662831, -0.022797",-0.022797,51.662831
Grain CHP *,,Natural Gas,CCGT,1517,2011,South East,"51.442405752317136, 0.7082995994539573",0.7082995994539573,51.442405752317136
Killingholme,,Natural Gas,OCGT,600,1992,Yorkshire and Humber,"53.65952, -0.25511",-0.25511,53.65952
VPI Immingham *,Vitol,Natural Gas,CCGT,1252,2004,Yorkshire and Humber,"53.6375348640383, -0.23483406082440553",-0.23483406082440553,53.6375348640383
Baglan Bay GT,Calon Energy,Oil,Diesel/gas oil,32.3,2002,Wales,"51.619722, -3.829722",-3.829722,51.619722
Drax GT,,Oil,Diesel/gas oil,75,1971,Yorkshire and Humber,"53.735281, -0.991969",-0.991969,53.735281
West Burton GT,,Oil,Diesel/gas oil,40,1967,East Midlands,"53.3622, -0.8076",-0.8076,53.3622
Indian Queens,Energy Capital Partners,Oil,Diesel/gas oil,140,1996,South West,"50.39522228510114, -4.898354354518207",-4.898354354518207,50.39522228510114
Aberthaw GT,,Oil,Diesel/gas oil,51,1971,Wales,"51.387222, -3.405",-3.405,51.387222
Cowes,,Oil,Diesel/gas oil,140,1982,South East,"50.74938354111807, -1.2867715871780612",-1.2867715871780612,50.74938354111807
Didcot GT,,Oil,Diesel/gas oil,100,1972,South East,"52.204758, -0.267244",-0.267244,52.204758
Little Barford GT,,Oil,Diesel/gas oil,17,2006,East England,"52.204758, -0.267244",-0.267244,52.204758
Arnish,,Oil,Diesel/gas oil,10,2000,Scotland,"58.186843, -6.387746",-6.387746,58.186843
Barra,,Oil,Diesel/gas oil,2.5,1986,Scotland,"57.003755, -7.407943",-7.407943,57.003755
Bowmore,,Oil,Diesel/gas oil,6,1946,Scotland,"55.760696, -6.273632",-6.273632,55.760696
Fiddler`s Ferry GT,,Oil,Diesel/gas oil,35,1971,North West,"53.372, -2.687",-2.687,53.372
Five Oaks,,Oil,Diesel/gas oil,9,1995,South East,"51.05927408138078, -0.44588198458103634",-0.44588198458103634,51.05927408138078
Keadby GT,,Oil,Diesel/gas oil,25,1994,Yorkshire and Humber,"53.594447, -0.750578",-0.750578,53.594447
Kirkwall,,Oil,Diesel/gas oil,16,1952,Scotland,"58.982276, -2.964641",-2.964641,58.982276
Lerwick,,Oil,Diesel/gas oil,67,1953,Scotland,"60.166115, -1.163945",-1.163945,60.166115
"Loch Carnan, South Uist",,Oil,Diesel/gas oil,11,1972,Scotland,"57.364156, -7.271151",-7.271151,57.364156
Stornoway,,Oil,Diesel/gas oil,23,1952,Scotland,"58.202592, -6.37436",-6.37436,58.202592
Thatcham,,Oil,Diesel/gas oil,9,1994,South East,"51.39907324121987, -1.2497789439609956",-1.2497789439609956,51.39907324121987
Tiree,,Oil,Diesel/gas oil,2.5,1953,Scotland,"56.49734, -6.881577",-6.881577,56.49734
Grain GT,,Oil,Diesel/gas oil,56,1978,South East,"51.445333, 0.714967",0.714967,51.445333
Ratcliffe GT,,Oil,Diesel/gas oil,34,1967,East Midlands,"52.865297, -1.255",-1.255,52.865297
Taylor's Lane GT,,Oil,Diesel/gas oil,144,1979,London,"50.695, -0.264",-0.264,50.695
