name,area (km2),Turbine Capacity (MW),max capacity (GW),lon,lat,type
N2,561,15,2,-5.502,58.863,Floating Wind
N3,1106,15,2,-6.501,58.099,Floating Wind
NE1,751,15,2,-0.186,60.291,Floating Wind
NE2,345,15,1,-2.261,58.866,Floating Wind
NE3,265,15,1,-2.143,58.508,Floating Wind
NE6,669,15,2,-1.657,58.057,Floating Wind
NE7,684,15,3,-0.616,58.166,Floating Wind
NE8,339,15,1,-1.231,58.424,Floating Wind
E1,3744,15,3,-0.388,56.699,Floating Wind
E2,1287,15,2,0.134,57.393,Floating Wind
E3,474,15,1,-1.47,57,Floating Wind
